Name,Num,Mobile
# Note: The source field of the tweet, must be encoded to ascii from unicode, with errors ignored (str.encode('ascii', 'ignore')) to get a match
"<a href=""http://github.com/cezarsa/chromed_bird"" rel=""nofollow"">Chromed Bird</a>",425,FALSE
"<a href=""http://getspaz.com"" rel=""nofollow"">Spaz</a>",39,MIXED
"<a href=""http://getsocialscope.com"" rel=""nofollow"">SocialScope</a>",257,TRUE
"<a href=""http://getreachcast.com"" rel=""nofollow"">ReachCast</a>",8,FALSE
"<a href=""http://getglue.com"" rel=""nofollow"">GetGlue.com</a>",32,MIXED
"<a href=""http://fwix.com"" rel=""nofollow"">Fwix</a>",38,FALSE
"<a href=""http://fun140.com/"" rel=""nofollow"">Fun140</a>",443,FALSE
"<a href=""http://friendfeed.com"" rel=""nofollow"">FriendFeed</a>",188,FALSE
"<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>",4871,TRUE
"<a href=""http://formspring.me"" rel=""nofollow"">Formspring.me</a>",37,FALSE
"<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>",42,FALSE
"<a href=""http://faxo.com/"" rel=""nofollow"">Faxo.com</a>",26,FALSE
"<a href=""http://favstar.fm"" rel=""nofollow"">Favstar.FM</a>",28,FALSE
"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",1126,FALSE
"<a href=""http://dev.twitter.com/"" rel=""nofollow"">API</a>",49,FALSE
"<a href=""http://cyg-one.net/TweetBot"" rel=""nofollow"">CyG TweetBot</a>",22,FALSE
"<a href=""http://cyg-newsagent.net/"" rel=""nofollow"">CyG NewsAgent</a>",20,FALSE
"<a href=""http://cotweet.com/?utm_source=sp1"" rel=""nofollow"">CoTweet</a>",175,FALSE
"<a href=""http://closebyme.com"" rel=""nofollow"">closebyme</a>",20,FALSE
"<a href=""http://buzztap.com"" rel=""nofollow"">buzztap</a>",14,FALSE
"<a href=""http://brightkite.com"" rel=""nofollow"">Brightkite</a>",8,MIXED
"<a href=""http://bit.ly"" rel=""nofollow"">bitly</a>",154,FALSE
"<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>",43,FALSE
"<a href=""http://bdcast.com/hierarchy/secondary.php?maj=102&sec=209"" rel=""nofollow"">TRE - The Radio Experience</a>",13,FALSE
"<a href=""http://apps.facebook.com/status-shuffle/?from=twitter"" rel=""nofollow"">Status Shuffle</a>",21,FALSE
"<a href=""http://adium.im"" rel=""nofollow"">Adium</a>",14,FALSE
"<a href=""http://83degrees.com/to/powertwitter"" rel=""nofollow"">Power Twitter</a>",294,FALSE
"<a href=""http://1e10.org/cloud/"" rel=""nofollow"">1e10</a>",23,FALSE
"<a href=""/devices"" rel=""nofollow"">txt</a>",8748,TRUE
"<a href=""http://www.ubertwitter.com/bb/download.php"" rel=""nofollow"">berTwitter</a>",25,TRUE
